Name,Address,Phone
Le Marrakech,6 avenue Mandallaz 74000 Annecy  ,04 50 45 45 21
Granny Smith,4 rue Louis Revon 74000 Annecy  ,09 50 14 11 67
Chez Ingalls,29 rue Vaugelas 74000 Annecy  ,04 50 45 25 96
Brasserie Brunet,10 rue Poste 74000 Annecy  ,04 50 51 22 10
Côté Prairie,20 A chemin Prairie 74000 Annecy  ,04 50 19 50 42
The Little Italy,16 rue Ste Claire 74000 Annecy  ,06 73 26 56 43
Kheops 74,16 avenue Genève 74000 Annecy  ,04 50 09 30 00
LE BOUCHON ERIC,Vieille Ville 2 passage Golliardi 74000 Annecy  ,04 50 45 31 35
L'Impérial Palace,allée Impérial 74000 Annecy  ,Numéro non trouvé
L'Uzine,41 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
Les Terrasses du Lac,7 route Semnoz 74000 Annecy  ,Numéro non trouvé
Au Chardon D'Ecosse,10 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
Brasserie des Européens,Esp De L'hôtel De Ville 4 rue St Maurice 74000 Annecy  ,Numéro non trouvé
Brasserie Saint Maurice,9 square Collège Chappuisien 74000 Annecy  ,Numéro non trouvé
Philippe Rigollot Pâtissier Chocolatier,1 place Georges Volland 74000 Annecy  ,Numéro non trouvé
Le Bap 's,3 Bis avenue Chevêne 74000 Annecy  ,Numéro non trouvé
Le Bistro Du Rhône,13 avenue Rhône 74000 Annecy  ,Numéro non trouvé
La Ciboulette,10 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
Novotel Annecy Centre Atria,1 Place Marie Curie 1 avenue Berthollet 74000 Annecy  ,Numéro non trouvé
Domino's Pizza Annecy les Teppes,Ccial des Teppes 5 place Rhododendrons 74000 Annecy  ,Numéro non trouvé
Le Ramoneur Savoyard,7 rue Grenette 74000 Annecy  ,04 50 51 29 52
Au Bureau,13 rue Poste 74000 Annecy  ,Numéro non trouvé
La Cabane,27 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Grill Courtepaille,131 Bis avenue Genève 74000 Annecy  ,Numéro non trouvé
Domino's Pizza Annecy,24 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
La salle des gardes,Quai Des Vieilles Prisons 5 rue Perrière 74000 Annecy  ,Numéro non trouvé
LE FRETI,12 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
L'Olivier,Cour du Pré Carré 32 rue Carnot 74000 Annecy  ,Numéro non trouvé
Sushi Shop,13 rue Poste 74000 Annecy  ,Numéro non trouvé
Les Trésoms,15 boulevard Corniche 74000 Annecy  ,Numéro non trouvé
Liber Art,Salon Image 41 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
Les Cimes,19 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Les 3 Brasseurs,31 25 avenue Parmelan 74000 Annecy  ,Numéro non trouvé
Sapaudia,12 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Quai N 10 Rocaje EURL,10 quai Ile 74000 Annecy  ,Numéro non trouvé
L'Alpin,5 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Chez Frantz,16 rue Jean Jacques Rousseau 74000 Annecy  ,Numéro non trouvé
Le Bowl,9 boulevard Fier 74000 Annecy  ,Numéro non trouvé
Le Bar Roux d'Heure et La brune,6 rue Filaterie 74000 Annecy  ,Numéro non trouvé
Le T Quatre,8 rue Notre Dame 74000 Annecy  ,Numéro non trouvé
Café Leffe L'ABBAYE,4 rue Pâquier 74000 Annecy  ,04 50 57 66 26
Brasserie du Parc,L'impérial Palace allée Impérial 74000 Annecy  ,04 50 45 03 05
L'Amnésie Annecy,37 avenue Barattes 74000 Annecy  ,09 62 69 62 43
L'Appart Du 17,17 rue Pâquier 74000 Annecy  ,Numéro non trouvé
Crêperie Bretonne la Bolée,14 rue Ile 74000 Annecy  ,Numéro non trouvé
VINISTROT SOCREA,12 rue Perrière 74000 Annecy  ,Numéro non trouvé
Aya Caffe,37 avenue Parmelan 74000 Annecy  ,Numéro non trouvé
Bistrot Vincent,25 avenue Parmelan 74000 Annecy  ,Numéro non trouvé
La Table d'Ebène,4 Bis avenue Aléry 74000 Annecy  ,Numéro non trouvé
L'ETABLE,33 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Hôtel Restaurant Les Rochers Blancs,route Semnoz 74000 Annecy  ,Numéro non trouvé
Le Cochon A L'Oreille,Passage Golliardi quai Perrière 74000 Annecy  ,Numéro non trouvé
Pizza Hut,12 avenue Cran 74000 Annecy  ,Numéro non trouvé
LES MOUSTACHES DE ZÉBULON,37 avenue Loverchy 74000 Annecy  ,Numéro non trouvé
Restaurant La Haut,8 rue Baronnet 74000 Annecy  ,Numéro non trouvé
Restaurant Del Arte,65 rue Carnot 74000 Annecy  ,Numéro non trouvé
Allo Nems,10 avenue Gambetta 74000 Annecy  ,Numéro non trouvé
Le Denti,25 Bis avenue Loverchy 74000 Annecy  ,Numéro non trouvé
La Porte Sainte Claire,1 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Auberge De Savoie,1 place St François de Sales 74000 Annecy  ,Numéro non trouvé
Bellevue,90 avenue Genève 74000 Annecy  ,04 50 45 92 96
Café Bichette,9 rue Perrière 74000 Annecy  ,04 50 09 32 32
Aromatik,5 rue Collège Chapuisien 74000 Annecy  ,Numéro non trouvé
Little Vietnam,1 allée Saules 74000 Annecy  ,Numéro non trouvé
Le Vertumne,13 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
Bagelstein,21 rue Gare 74000 Annecy  ,Numéro non trouvé
Au Fidèle Berger,2 rue Royale 74000 Annecy  ,Numéro non trouvé
Le Chalet,11 rue Jean Jacques Rousseau 74000 Annecy  ,Numéro non trouvé
Le Nid Du Merle,9 rue Gare 74000 Annecy  ,Numéro non trouvé
Le Tanoué,3 rue Paix 74000 Annecy  ,Numéro non trouvé
Restaurant Le Shiva,18 avenue Mandallaz 74000 Annecy  ,Numéro non trouvé
Le Bon Lieu,Bonlieu côté parc à l'opposé de Burger King Square Martyrs 1 rue Jean Jaurès 74000 Annecy  ,Numéro non trouvé
Le Libellule,Quai Napoleon III 2 place Bois 74000 Annecy  ,Numéro non trouvé
Bar Piscine des Marquisats,29 rue Marquisats 74000 Annecy  ,Numéro non trouvé
La Dolce Vita Annecy,35 avenue Cran 74000 Annecy  ,Numéro non trouvé
La Brasserie de l'Impérial,1 allée Impérial 74000 Annecy  ,Numéro non trouvé
Los Primos,2 rue Aimé Levet 74000 Annecy  ,Numéro non trouvé
Pura Vida,2 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
Le Bouillon,9 rue Gare 74000 Annecy  ,Numéro non trouvé
L' Alouette,19 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Tête de Cochon,7 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Auberge Du Lyonnais,9 rue République 74000 Annecy  ,Numéro non trouvé
Mai One,5 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Fabbrica,Le Pre Carre 10 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
Mazette,15 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Bistro Sauvage,9 avenue Iles 74000 Annecy  ,Numéro non trouvé
La Rotonde,Les Trésoms Lake & Spa Resort 15 boulevard Corniche 74000 Annecy  ,Numéro non trouvé
Lyly,3 avenue Chevêne 74000 Annecy  ,Numéro non trouvé
Le Pas Sage,6 rue Joseph Blanc 74000 Annecy  ,Numéro non trouvé
Chez Mamie Lise,11 rue Grenette 74000 Annecy  ,Numéro non trouvé
Brasserie de la Paix,2 rue Paix 74000 Annecy  ,Numéro non trouvé
Fu Yao,12 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
Brasserie Saint Charles,46 avenue Parmelan 74000 Annecy  ,Numéro non trouvé
Mezzo Di Pasta,57 rue Carnot 74000 Annecy  ,Numéro non trouvé
5 Stelle d'Oro,6 passage jacquard 74000 Annecy  ,Numéro non trouvé
Taj Mahal,13 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Creperie Blue de Toi,2 place St François de Sales 74000 Annecy  ,Numéro non trouvé
Les Palettes,9 rue Royale 74000 Annecy  ,Numéro non trouvé
McDonald's,C Comm Carrefour 134 avenue Genève 74000 Annecy  ,Numéro non trouvé
Carrefour,134 avenue Genève 74000 Annecy  ,Numéro non trouvé
Bistrot Perrière,7 rue Perrière 74000 Annecy  ,04 50 45 88 83
Novel,69 avenue France 74000 Annecy  ,04 50 45 37 08
L'Estaminet,8 rue Ste Claire 74000 Annecy  ,04 50 67 51 80
COZNA,22 faubourg Ste Claire 74000 Annecy  ,07 86 73 01 34
Restaurant Le Sultan,Le Parmelan 13 allée Salomons 74000 Annecy  ,Numéro non trouvé
Le Lilas Rose,passage Evéché 74000 Annecy  ,Numéro non trouvé
Restaurant Le Bilboquet,14 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Minami,19 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Le Vénitien,9 Bis rue Royale 74000 Annecy  ,Numéro non trouvé
BERDE SARL,49 avenue Cran 74000 Annecy  ,Numéro non trouvé
La Rotisserie De Thiou,17 passage Evéché 74000 Annecy  ,Numéro non trouvé
Creperie du Thion,quai Ile 74000 Annecy  ,Numéro non trouvé
LA VOGLIA,16 rue République 74000 Annecy  ,Numéro non trouvé
Sapaudia Caffé,4 Bis rue Poste 74000 Annecy  ,Numéro non trouvé
Lac Casa,12 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
LA ROMANTICA SARL,6 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Bock Café,15 rue Louis Boch 74000 Annecy  ,Numéro non trouvé
Le Tuk Tuk,55 avenue Novel 74000 Annecy  ,Numéro non trouvé
Le Paradis Du Fruit,10 Bis rue Poste 74000 Annecy  ,Numéro non trouvé
Chez Apo Bar Resto,6 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Le Ricochet,33 avenue Petit Port 74000 Annecy  ,Numéro non trouvé
LES ECURIES,Cour Du Pre Carre 10 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
Azzurro,1 passage Clercs 74000 Annecy  ,Numéro non trouvé
Le Vieux Cédre,10 rue Gare 74000 Annecy  ,Numéro non trouvé
Subway,134 avenue Genève 74000 Annecy  ,Numéro non trouvé
Indians Food,36 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
Le Riva,allée Impérial 74000 Annecy  ,Numéro non trouvé
Bufa Pizza,10 rue République 74000 Annecy  ,Numéro non trouvé
L'Authentic,3 rue Ile 74000 Annecy  ,Numéro non trouvé
Sam Angkor,21 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Le Kabuki,9 Bis avenue Chevêne 74000 Annecy  ,Numéro non trouvé
Restaurant Le Bowl,9 boulevard Fier 74000 Annecy  ,Numéro non trouvé
Chez Firmin,21 avenue Aléry 74000 Annecy  ,Numéro non trouvé
Le Ryad,38 avenue Cran 74000 Annecy  ,Numéro non trouvé
Le Carrousel Du 15,4 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
SO KAFFE,34 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
Le Petit Thiou,4 pass Jacquard 74000 Annecy  ,Numéro non trouvé
Métin Altun,13 avenue Rhône 74000 Annecy  ,Numéro non trouvé
LBE ANNECY,2 rue Jean Jaurès 74000 Annecy  ,Numéro non trouvé
Little Vietnam,1 allée Saules 74000 Annecy  ,Numéro non trouvé
Le Panda Gourmet,2 r Vignes 2 chemin Fins 74000 Annecy  ,04 50 23 49 98
Bingo Sushi,134 avenue Genève 74000 Annecy  ,04 50 51 19 71
Le Chalet à Crêpes,1 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
COTE BURGER,14 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Mylk Tea Café,34 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
Fujikoya sushi,37 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
La Suite,5 route Vovray 74000 Annecy  ,Numéro non trouvé
Luna Rossa,34 avenue Brogny 74000 Annecy  ,Numéro non trouvé
Restaurant L'Incandescent Rôtissier,4 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Haven,5 rue Filaterie 74000 Annecy  ,Numéro non trouvé
La Maison du Lac,13 avenue Petit Port 74000 Annecy  ,Numéro non trouvé
Taverne Fischer,Quartier Vieille Ville 2 quai Perrière 74000 Annecy  ,Numéro non trouvé
"Bakhchich, Baba !",11 avenue Mandallaz 74000 Annecy  ,Numéro non trouvé
La Cuisine de Wadad,33 avenue Genève 74000 Annecy  ,Numéro non trouvé
Restaurant la Voile,allée Impérial 74000 Annecy  ,Numéro non trouvé
Hôtel Catalpa,34 avenue Albigny 74000 Annecy  ,Numéro non trouvé
Ô Savoyard,1 rue Perrière 74000 Annecy  ,Numéro non trouvé
Les Loges Annecy Vieille Ville,35 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
La Bastille,3 quai Vieilles Prisons 74000 Annecy  ,Numéro non trouvé
Restaurant l'Atlas,2 rue St Maurice 74000 Annecy  ,Numéro non trouvé
New Delhi,5 rue Frontenex 74000 Annecy  ,04 50 51 76 06
Racine,8 passage Bains 74000 Annecy  ,04 56 34 84 88
Midget,4 quai Madame de Warens 74000 Annecy  ,Numéro non trouvé
Le Regann,1 rue Prés Favre 74000 Annecy  ,Numéro non trouvé
Bon Pain Bon Vin,17 rue Filaterie 74000 Annecy  ,Numéro non trouvé
Jiminy Osteria,2 passage Gruffaz 74000 Annecy  ,Numéro non trouvé
Captain Pub,11 rue Pont Morens 74000 Annecy  ,Numéro non trouvé
Copper Branch,8 quai Eustache Chappuis 74000 Annecy  ,Numéro non trouvé
Le Comptoir des Loges,35 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Feuille de Lotus,14 rue Jean Jacques Rousseau 74000 Annecy  ,Numéro non trouvé
"Restaurant ""Chez Pen"" PRIDE",11 avenue Berthollet 74000 Annecy  ,Numéro non trouvé
Casa Santa Clara,9 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Restaurant Le Napoli,8 rue Pâquier 74000 Annecy  ,Numéro non trouvé
Brasserie Bistrot Artistes,11 boulevard Fier 74000 Annecy  ,Numéro non trouvé
Canailles,33 avenue Genève 74000 Annecy  ,Numéro non trouvé
L'Etage,13 rue Pâquier 74000 Annecy  ,Numéro non trouvé
LMK,8 faubourg Balmettes 74000 Annecy  ,Numéro non trouvé
L'Esquisse,21 rue Royale 74000 Annecy  ,Numéro non trouvé
Au Fil du Thiou,Place des Cordeliers 5 passage Bains 74000 Annecy  ,Numéro non trouvé
Restaurant à La Bonne Heure,Centre Commercial Carrefour 134 avenue Genève 74000 Annecy  ,Numéro non trouvé
Le Fin des Fins,46 avenue Genève 74000 Annecy  ,Numéro non trouvé
Tacos Royal,57 avenue Genève 74000 Annecy  ,Numéro non trouvé
SOS Soirée,2 rue Travail 74000 Annecy  ,Numéro non trouvé
Bloomer,14 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
Le Clos du Château,70 route Cuvat 74000 Annecy  ,Numéro non trouvé
BISTROT PIERROT,45 avenue France 74000 Annecy  ,Numéro non trouvé
The Craic Annecy,place Marie Curie 74000 Annecy  ,Numéro non trouvé
Tacos Food,80 avenue France 74000 Annecy  ,Numéro non trouvé
Le Moon,Les Jardins De L' Impérial 30 avenue Albigny 74000 Annecy  ,Numéro non trouvé
New China,2 avenue Vieux Moulins 74000 Annecy  ,Numéro non trouvé
La Plage De L'Impérial,30 avenue Albigny 74000 Annecy  ,Numéro non trouvé
La Coupole,7 Bis rue République 74000 Annecy  ,Numéro non trouvé
Slake,29 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
CHORAL,33 avenue Romains 74000 Annecy  ,Numéro non trouvé
Bar Café Du Pont Morens,9 quai Ile 74000 Annecy  ,Numéro non trouvé
Compagnie Des Bateaux Du Lac D'Annecy,2 place Bois 74000 Annecy  ,Numéro non trouvé
La Coupole,15 boulevard Corniche 74000 Annecy  ,Numéro non trouvé
Le Beau Soleil,6 r Grenette 6 quai Ile 74000 Annecy  ,Numéro non trouvé
Le Vieil Annecy,13 rue Perrière 74000 Annecy  ,Numéro non trouvé
Kumo,65 rue Carnot 74000 Annecy  ,Numéro non trouvé
Apéro n' Co,13 rue Gare 74000 Annecy  ,Numéro non trouvé
Le 300,9 boulevard Fier 74000 Annecy  ,Numéro non trouvé
L Addict,2 place Ste Claire 74000 Annecy  ,Numéro non trouvé
L'Assiette Rouge,34 avenue Albigny 74000 Annecy  ,Numéro non trouvé
Le Crispy,18 rue Pâquier 74000 Annecy  ,Numéro non trouvé
Yatta Ramen,19 rue Sansy 74000 Annecy  ,Numéro non trouvé
Le Salon Français MILESE,26 rue Royale 74000 Annecy  ,Numéro non trouvé
O Bon Bec,20 rue Marquisats 74000 Annecy  ,Numéro non trouvé
Pronto'S Pizza,5 Bis avenue Chevêne 74000 Annecy  ,Numéro non trouvé
Culture Trock,Centre Bonlieu 1 rue Jean Jaurès 74000 Annecy  ,Numéro non trouvé
El Salam,Espace Jeunes Chorus 9 passage Halles 74960 Annecy  ,Numéro non trouvé
Box Thai,2 avenue Chevêne 74000 Annecy  ,Numéro non trouvé
La Piada,2 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
T.R,104 avenue Genève 74000 Annecy  ,Numéro non trouvé
La Cuisine Des Amis,9 rue Pâquier 74000 Annecy  ,Numéro non trouvé
Chen Wu,6 chemin Fleuri 74000 Annecy  ,Numéro non trouvé
Columbus Café & Co,8 quai Eustache Chappuis 74000 Annecy  ,Numéro non trouvé
Lac SCM,10 quai Eustache Chappuis 74000 Annecy  ,Numéro non trouvé
Nora,19 avenue Loverchy 74000 Annecy  ,Numéro non trouvé
Le Quart De Cercle,bât La Barre Meythet 16 avenue Stade 74000 Annecy  ,Numéro non trouvé
1ER Mets,2 place St Maurice 74000 Annecy  ,04 50 02 28 23
IT TRATTORIA,65 rue Carnot 74000 Annecy  ,Numéro non trouvé
O'Tacos,22 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
Sushi Express,2 place Ste Claire 74000 Annecy  ,Numéro non trouvé
Le TTabegam,23 Et 25 23 rue Jean Jacques Rousseau 74000 Annecy  ,Numéro non trouvé
Veng Hong,4 rue Jean Jacques Rousseau 74000 Annecy  ,Numéro non trouvé
SAS L HACIENDA,34 avenue Genève 74000 Annecy  ,Numéro non trouvé
Les Chineurs,26 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Ailleurd Qu'ici,48 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
Noly'S Café,26 rue Soeurs Blanches 74000 Annecy  ,Numéro non trouvé
La Galéjade,4 quai Perrière 74000 Annecy  ,Numéro non trouvé
CASTEILLER,27 rue Jean Jacques Rousseau 74000 Annecy  ,Numéro non trouvé
Kamouraska,6 passage Cathédrale 74000 Annecy  ,Numéro non trouvé
Le Tuk-Tuk,60b Rte des Rutys route Pringy 74000 Annecy  ,Numéro non trouvé
Free Wok,Galerie Marchande Les Sorbiers B 13 rue Royale 74000 Annecy  ,Numéro non trouvé
Beer O'Clock,18 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
RESTAURANT LES FINS,bât Le Genava 38 avenue Genève 74000 Annecy  ,Numéro non trouvé
Bistrot Du Pâquier,11 rue Pâquier 74000 Annecy  ,Numéro non trouvé
La Brioche Dorée,65 rue Carnot 74000 Annecy  ,Numéro non trouvé
Le Bigou,passage St Bernard de Menthon 74000 Annecy  ,Numéro non trouvé
Red Fish,15 rue Préfecture 74000 Annecy  ,04 50 09 45 93
Pizza Panama 4,4 Bis rue Poste 74000 Annecy  ,04 50 66 41 90
LES BURGERS DE PAPA MC BURGERS,11 rue Prés Favre 74000 Annecy  ,Numéro non trouvé
Les Gourmandises d'Alex,4 allée Marie Paradis 74000 Annecy  ,Numéro non trouvé
Creabistro,2 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Urban Food,2 Bis avenue Brogny 74000 Annecy  ,Numéro non trouvé
Pizza Cosy,13 rue Poste 74000 Annecy  ,Numéro non trouvé
La Mamma,69 avenue France 74000 Annecy  ,Numéro non trouvé
L ASSIETTE GOURMANDE,67 avenue Genève 74000 Annecy  ,Numéro non trouvé
La Gavottine,672 rte Tessy 74000 Annecy  ,Numéro non trouvé
Mevlana II,8 rue Paix 74000 Annecy  ,Numéro non trouvé
La Cave,Passage Des Echoppes 8 rue Pâquier 74000 Annecy  ,Numéro non trouvé
VALEVINO,9 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Le Coucou Restaurant,11 Bis avenue Mandallaz 74000 Annecy  ,Numéro non trouvé
Par Faim Bio,13 rue République 74000 Annecy  ,Numéro non trouvé
Hyacinthe Koukoui,36 avenue Albigny 74000 Annecy  ,Numéro non trouvé
Les Retrouvailles,17 rue Pâquier 74000 Annecy  ,Numéro non trouvé
Fan House,Pas Pres Carré 36 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
Le P'Tit Cru,2 passage Gruffaz 74000 Annecy  ,Numéro non trouvé
Glacier Perrière TAKE AWAY,24 rue Perrière 74000 Annecy  ,Numéro non trouvé
Galopin,3 quai Cordeliers 74000 Annecy  ,Numéro non trouvé
Chez Renee,2 rue Louis Revon 74000 Annecy  ,Numéro non trouvé
Les Roseaux du Lac,6 rue Lac 74000 Annecy  ,Numéro non trouvé
PITAYA ANNECY THAI ANNECY,11 rue Poste 74000 Annecy  ,Numéro non trouvé
Miamici Delle Alpi,Nouvelles Galeries 2 Bis rue Thomas Ruphy 74000 Annecy  ,Numéro non trouvé
Vpdl,8 place Notre Dame 74000 Annecy  ,Numéro non trouvé
Fresh Burritos,10 quai Eustache Chappuis 74000 Annecy  ,Numéro non trouvé
La Récré,4 Bis avenue Brogny 74000 Annecy  ,Numéro non trouvé
Café des Ducs,5 quai Vieilles Prisons 74000 Annecy  ,Numéro non trouvé
Café Bunna,17 rue Jean Jacques Rousseau 74000 Annecy  ,Numéro non trouvé
Oson Doson,9 avenue Rhône 74000 Annecy  ,Numéro non trouvé
CHEZ MONIQUE,31 rue Ste Claire 74000 Annecy  ,Numéro non trouvé
Pedro,23 rue Sommeiller 74000 Annecy  ,Numéro non trouvé
UBA Union Bouliste Annecienne,promenade Jacquet 74000 Annecy  ,Numéro non trouvé
Amata,75 avenue Genève 74000 Annecy  ,Numéro non trouvé
L'Assiette Dans Les Nuages,8 rue Baronnet 74000 Annecy  ,Numéro non trouvé
Manga-T,7 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Food Crêpe,13 avenue Loverchy 74000 Annecy  ,Numéro non trouvé
Le Puit Saint Jean,19 rue Pâquier 74000 Annecy  ,Numéro non trouvé
MLO,4 place St François de Sales 74000 Annecy  ,Numéro non trouvé
Crep'Eat,65 rue Carnot 74000 Annecy  ,Numéro non trouvé
Restaurant Saba,21 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Côté Sushi,12 rue Glières 74000 Annecy  ,Numéro non trouvé
Le Recto,10 rue République 74000 Annecy  ,Numéro non trouvé
Bar Savoyard,9 rue République 74000 Annecy  ,Numéro non trouvé
SPAC,2 rue Collège Chapuisien 74000 Annecy  ,Numéro non trouvé
Sushi Box,3 rue Annexion 74000 Annecy  ,Numéro non trouvé
Le Cerf Volant,4 quai Madame de Warens 74000 Annecy  ,Numéro non trouvé
Gamin,15 avenue Cran 74000 Annecy  ,Numéro non trouvé
C.M.A.,14 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
Le Zinc A Raoul,11 rue Pont Morens 74000 Annecy  ,Numéro non trouvé
ARMONY SAVEURS ARMONY SAVEURS,74 rue République 74000 Annecy  ,Numéro non trouvé
SRI KRISHNA,36 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
La Verriere,12 faubourg Annonciades 74000 Annecy  ,Numéro non trouvé
Le Tandem,54 avenue Genève 74000 Annecy  ,Numéro non trouvé
Alpiz,21 rue Prés Favre 74000 Annecy  ,Numéro non trouvé
Turkish Delight,2 rue Paix 74000 Annecy  ,Numéro non trouvé
Perrine,65 rue Carnot 74000 Annecy  ,Numéro non trouvé
Rutab,2 place Ste Claire 74000 Annecy  ,Numéro non trouvé
GENOR-RESTAURATION,25 rue Carnot 74000 Annecy  ,Numéro non trouvé
Fabienne Barbero,12 avenue Berthollet 74000 Annecy  ,Numéro non trouvé
Jun,3 côte Perrière 74000 Annecy  ,Numéro non trouvé
Kelsa Bar & Restaurant,13 rue Ile 74000 Annecy  ,Numéro non trouvé
231 East St,9 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Bamboo,9 Quater rue République 74000 Annecy  ,Numéro non trouvé
Beacon,42 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
